epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6137.11,0.52983,0.3855,0.93424,0.97351,0.98483,0.99144,0.90772,0.44161,0.32066,0.87688,0.00108088,0.00108088,0.00108088
43,6283.09,0.54233,0.39327,0.94048,0.98271,0.98601,0.99487,0.92884,0.39324,0.31657,0.85826,0.00107675,0.00107675,0.00107675
44,6429.08,0.52033,0.37471,0.93372,0.97396,0.98629,0.99101,0.95112,0.34929,0.28779,0.8429,0.00107263,0.00107263,0.00107263
45,6575.29,0.52867,0.38185,0.93553,0.97221,0.98338,0.99421,0.92402,0.42447,0.31224,0.87705,0.0010685,0.0010685,0.0010685
46,6721.33,0.5452,0.37976,0.95213,0.9877,0.96802,0.99403,0.94143,0.36802,0.28964,0.85316,0.00106437,0.00106437,0.00106437
47,6867.31,0.51287,0.37276,0.9328,0.98227,0.98649,0.99355,0.93605,0.38329,0.29506,0.85427,0.00106025,0.00106025,0.00106025
48,7013.31,0.51611,0.36748,0.93129,0.98405,0.98897,0.99179,0.93917,0.37504,0.28871,0.85242,0.00105612,0.00105612,0.00105612
49,7159.35,0.51875,0.37693,0.92232,0.97707,0.98754,0.99116,0.9221,0.40479,0.31207,0.86459,0.001052,0.001052,0.001052
50,7305.35,0.53682,0.37041,0.94503,0.98195,0.98168,0.99138,0.93904,0.36561,0.29924,0.8522,0.00104787,0.00104787,0.00104787
51,7451.34,0.51252,0.36402,0.93195,0.97971,0.97806,0.99254,0.93377,0.39724,0.28799,0.86499,0.00104375,0.00104375,0.00104375
52,7597.36,0.51714,0.36882,0.93234,0.98797,0.98377,0.99425,0.95047,0.33911,0.28655,0.83681,0.00103962,0.00103962,0.00103962
53,7743.44,0.51412,0.36668,0.92423,0.98661,0.97572,0.99038,0.93464,0.38617,0.29597,0.8596,0.0010355,0.0010355,0.0010355
54,7889.43,0.49276,0.35585,0.91733,0.96286,0.98394,0.99381,0.9467,0.34199,0.30973,0.83455,0.00103138,0.00103138,0.00103138
55,8035.47,0.49735,0.35021,0.91962,0.97623,0.98,0.99362,0.94544,0.35606,0.28885,0.84473,0.00102725,0.00102725,0.00102725
56,8181.43,0.51148,0.36941,0.92555,0.98089,0.97954,0.99427,0.93792,0.38591,0.27534,0.86176,0.00102312,0.00102312,0.00102312
57,8327.42,0.49677,0.35855,0.91579,0.96304,0.9734,0.99372,0.94563,0.3519,0.28802,0.84103,0.001019,0.001019,0.001019
58,8473.45,0.49226,0.34807,0.91562,0.98371,0.97948,0.9939,0.94951,0.36485,0.28094,0.84828,0.00101488,0.00101488,0.00101488
59,8619.44,0.51797,0.35459,0.93718,0.98507,0.97175,0.99385,0.93289,0.38733,0.30155,0.86025,0.00101075,0.00101075,0.00101075
60,8765.38,0.51234,0.3604,0.933,0.98422,0.98178,0.99417,0.956,0.33843,0.27323,0.8423,0.00100663,0.00100663,0.00100663
61,8911.49,0.47907,0.34815,0.91389,0.97508,0.99324,0.99239,0.95311,0.33894,0.27204,0.83798,0.0010025,0.0010025,0.0010025
62,9057.45,0.51088,0.3528,0.94311,0.98201,0.99114,0.99427,0.94679,0.34682,0.28202,0.83654,0.000998375,0.000998375,0.000998375
63,9203.5,0.49566,0.34569,0.92111,0.98347,0.97973,0.99397,0.95103,0.35782,0.27595,0.84672,0.00099425,0.00099425,0.00099425
64,9349.48,0.49664,0.34647,0.92383,0.9651,0.97355,0.99315,0.95536,0.33957,0.2833,0.83626,0.000990125,0.000990125,0.000990125
65,9495.46,0.48062,0.34008,0.91456,0.98418,0.98111,0.9922,0.94859,0.34673,0.2711,0.8467,0.000986,0.000986,0.000986
66,9641.55,0.47331,0.3293,0.90612,0.97746,0.98121,0.99461,0.94898,0.3274,0.27333,0.83462,0.000981875,0.000981875,0.000981875
67,9787.5,0.48803,0.34295,0.92505,0.97984,0.97498,0.99344,0.95778,0.34779,0.27182,0.84449,0.00097775,0.00097775,0.00097775
68,9933.6,0.48189,0.33797,0.92321,0.98256,0.98032,0.99284,0.94436,0.34757,0.2675,0.84267,0.000973625,0.000973625,0.000973625
69,10079.6,0.47324,0.3352,0.91622,0.98373,0.97923,0.98826,0.95359,0.3391,0.27137,0.83825,0.0009695,0.0009695,0.0009695
70,10225.6,0.47753,0.33571,0.90885,0.97502,0.98015,0.99388,0.9482,0.36703,0.2816,0.85957,0.000965375,0.000965375,0.000965375
71,10371.6,0.48272,0.33788,0.91196,0.98309,0.9929,0.99395,0.96119,0.32129,0.24376,0.83591,0.00096125,0.00096125,0.00096125
72,10517.7,0.47958,0.33423,0.91423,0.98516,0.98646,0.99369,0.95679,0.35374,0.25863,0.84717,0.000957125,0.000957125,0.000957125
73,10663.7,0.48,0.3403,0.91478,0.97982,0.98388,0.99434,0.95548,0.35164,0.25238,0.84625,0.000953,0.000953,0.000953
74,10809.8,0.47484,0.33243,0.91102,0.98835,0.9913,0.99447,0.95624,0.35716,0.24361,0.8416,0.000948875,0.000948875,0.000948875
75,10955.8,0.47223,0.33225,0.90912,0.9738,0.99104,0.99401,0.95209,0.33793,0.25391,0.83471,0.00094475,0.00094475,0.00094475
76,11101.7,0.44968,0.31724,0.8963,0.98918,0.98597,0.99461,0.94683,0.35891,0.26139,0.84383,0.000940625,0.000940625,0.000940625
77,11247.7,0.45684,0.31575,0.90164,0.97935,0.97438,0.99411,0.95226,0.32867,0.26595,0.83225,0.0009365,0.0009365,0.0009365
78,11393.7,0.46021,0.33316,0.90195,0.97768,0.98517,0.99436,0.95361,0.33069,0.26704,0.83587,0.000932375,0.000932375,0.000932375
79,11539.7,0.47493,0.33207,0.91734,0.97643,0.98165,0.99352,0.96076,0.30858,0.25507,0.82505,0.00092825,0.00092825,0.00092825
80,11685.7,0.4747,0.33376,0.91792,0.98044,0.99206,0.99272,0.95428,0.31362,0.25142,0.82552,0.000924125,0.000924125,0.000924125
81,11831.7,0.45812,0.32682,0.9028,0.99032,0.97415,0.9932,0.96727,0.32822,0.25262,0.83232,0.00092,0.00092,0.00092
82,11977.8,0.45572,0.31664,0.90135,0.98961,0.96747,0.9941,0.96723,0.31799,0.25181,0.83118,0.000915875,0.000915875,0.000915875
83,12124,0.45982,0.31933,0.90096,0.9759,0.97999,0.99438,0.95944,0.31504,0.24602,0.8291,0.00091175,0.00091175,0.00091175
84,12270,0.46588,0.32173,0.91092,0.95908,0.98555,0.99341,0.95746,0.32571,0.30348,0.83026,0.000907625,0.000907625,0.000907625
