epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9943,0.80644,2.15591,1.05798,0.95692,0.98649,0.98688,0.85792,0.54528,0.82166,0.91142,0.00332483,0.00332483,0.00332483
2,138.379,0.72203,1.16142,1.02801,0.97235,0.98478,0.99287,0.84475,0.59408,0.67645,0.94345,0.00663619,0.00663619,0.00663619
3,200.104,0.74726,0.89287,1.05643,0.94329,0.96667,0.98482,0.85281,0.63026,0.60826,0.98242,0.00992555,0.00992555,0.00992555
4,262.154,0.7558,0.71348,1.06757,0.94357,0.97483,0.99322,0.84569,0.60481,0.49786,0.95545,0.009901,0.009901,0.009901
5,324.424,0.69114,0.55634,1.02847,0.94326,0.96253,0.99032,0.86017,0.53995,0.45459,0.92161,0.009868,0.009868,0.009868
6,387.076,0.66041,0.50141,1.01101,0.9666,0.98038,0.98964,0.88294,0.48504,0.47824,0.90339,0.009835,0.009835,0.009835
7,451.317,0.63643,0.46781,0.99634,0.97261,0.97815,0.99037,0.9025,0.43141,0.37873,0.86108,0.009802,0.009802,0.009802
8,516.313,0.61893,0.44297,0.98621,0.96243,0.97297,0.99089,0.90104,0.46134,0.37888,0.88424,0.009769,0.009769,0.009769
9,576.737,0.60503,0.436,0.97968,0.96749,0.9868,0.99093,0.9113,0.4618,0.34398,0.87677,0.009736,0.009736,0.009736
10,635.022,0.5822,0.39875,0.96587,0.97739,0.97377,0.98928,0.91245,0.47623,0.32894,0.88942,0.009703,0.009703,0.009703
11,693.571,0.56744,0.38945,0.95518,0.9451,0.98247,0.98861,0.92867,0.40131,0.34407,0.85146,0.00967,0.00967,0.00967
12,752.652,0.55811,0.38024,0.95093,0.95493,0.99042,0.99049,0.91883,0.41901,0.31474,0.8542,0.009637,0.009637,0.009637
13,813.799,0.53796,0.36423,0.93934,0.97272,0.98643,0.99007,0.93475,0.38568,0.28348,0.83732,0.009604,0.009604,0.009604
14,872.39,0.53186,0.35487,0.9389,0.97073,0.99122,0.99058,0.93981,0.38005,0.29017,0.83601,0.009571,0.009571,0.009571
15,932.44,0.52537,0.35229,0.93633,0.98554,0.967,0.98853,0.90939,0.4259,0.30795,0.85517,0.009538,0.009538,0.009538
16,992.651,0.509,0.3378,0.92714,0.97215,0.98202,0.99264,0.94452,0.37042,0.26956,0.82911,0.009505,0.009505,0.009505
17,1051.99,0.50674,0.33465,0.92507,0.98168,0.98072,0.99448,0.94251,0.3513,0.24535,0.81967,0.009472,0.009472,0.009472
18,1110.96,0.50023,0.33137,0.92401,0.97886,0.98448,0.99059,0.93416,0.36385,0.29242,0.82988,0.009439,0.009439,0.009439
19,1171.8,0.49522,0.32719,0.91959,0.97549,0.99055,0.991,0.9537,0.35329,0.24961,0.82531,0.009406,0.009406,0.009406
20,1232.17,0.486,0.32295,0.91355,0.97931,0.97973,0.99123,0.93479,0.39471,0.25689,0.8437,0.009373,0.009373,0.009373
21,1292.2,0.48255,0.31618,0.91336,0.97589,0.99324,0.99238,0.94389,0.36763,0.24797,0.83055,0.00934,0.00934,0.00934
22,1350.92,0.47511,0.31085,0.91294,0.96782,0.97314,0.9898,0.95907,0.32685,0.2528,0.81308,0.009307,0.009307,0.009307
23,1412.81,0.47366,0.31158,0.9101,0.96951,0.98658,0.99063,0.94705,0.30145,0.2269,0.80314,0.009274,0.009274,0.009274
24,1475.79,0.46255,0.30455,0.90614,0.97631,0.98712,0.99404,0.95635,0.31928,0.23216,0.81158,0.009241,0.009241,0.009241
25,1547.03,0.46133,0.30152,0.90148,0.97492,0.98003,0.99067,0.95775,0.31421,0.23876,0.80659,0.009208,0.009208,0.009208
26,1613.28,0.45538,0.30037,0.90159,0.96249,0.99003,0.99103,0.95983,0.31336,0.24368,0.80663,0.009175,0.009175,0.009175
27,1674.16,0.45772,0.29713,0.90342,0.97879,0.99022,0.99074,0.96711,0.29588,0.23228,0.80137,0.009142,0.009142,0.009142
28,1738.46,0.44382,0.28624,0.89704,0.9753,0.98649,0.99348,0.96342,0.31003,0.23312,0.80264,0.009109,0.009109,0.009109
29,1805.98,0.45333,0.29325,0.90005,0.97923,0.98661,0.99187,0.95701,0.3064,0.22333,0.80346,0.009076,0.009076,0.009076
30,1873.75,0.44575,0.28708,0.89384,0.9753,0.98529,0.99108,0.96518,0.30146,0.22071,0.80025,0.009043,0.009043,0.009043
31,1941.19,0.43692,0.28334,0.89193,0.971,0.98683,0.99104,0.96327,0.32505,0.22649,0.80872,0.00901,0.00901,0.00901
32,2008.43,0.43786,0.28261,0.89314,0.95753,0.99324,0.99047,0.96601,0.30274,0.22931,0.80232,0.008977,0.008977,0.008977
33,2071.62,0.43757,0.28238,0.89367,0.97831,0.98419,0.99167,0.97102,0.28528,0.21657,0.79791,0.008944,0.008944,0.008944
34,2133.17,0.42987,0.27635,0.89001,0.96894,0.98452,0.99053,0.96009,0.33503,0.24323,0.81284,0.008911,0.008911,0.008911
35,2193.8,0.42552,0.27417,0.8868,0.96325,0.99302,0.98971,0.9668,0.29257,0.23562,0.80089,0.008878,0.008878,0.008878
36,2254.77,0.42145,0.27338,0.88675,0.97697,0.97334,0.99084,0.96172,0.31252,0.23255,0.80368,0.008845,0.008845,0.008845
37,2316.11,0.41808,0.27046,0.88521,0.97125,0.98296,0.99018,0.96272,0.29012,0.21699,0.79111,0.008812,0.008812,0.008812
38,2377.5,0.42125,0.2706,0.88651,0.97422,0.99027,0.99093,0.97188,0.31217,0.21104,0.80432,0.008779,0.008779,0.008779
39,2437.98,0.42113,0.27539,0.88598,0.97109,0.99114,0.99102,0.9579,0.30777,0.22434,0.80233,0.008746,0.008746,0.008746
40,2499.11,0.42047,0.26835,0.87832,0.97963,0.99054,0.99438,0.97768,0.27537,0.22749,0.79205,0.008713,0.008713,0.008713
41,2559.36,0.41938,0.27021,0.88276,0.9714,0.98955,0.99283,0.96376,0.3282,0.21003,0.81327,0.00868,0.00868,0.00868
42,2620.08,0.40507,0.26171,0.87419,0.97138,0.98649,0.99177,0.97443,0.28337,0.21072,0.79277,0.008647,0.008647,0.008647
43,2681.4,0.4102,0.26377,0.87506,0.97661,0.98829,0.9944,0.96618,0.29515,0.20658,0.80004,0.008614,0.008614,0.008614
44,2742.85,0.40288,0.25601,0.87639,0.98663,0.97954,0.99183,0.9764,0.27357,0.22165,0.79333,0.008581,0.008581,0.008581
45,2802.67,0.39601,0.25459,0.86923,0.94749,0.98614,0.99258,0.97417,0.28168,0.2161,0.78944,0.008548,0.008548,0.008548
46,2864.49,0.39679,0.25695,0.87471,0.97442,0.9825,0.99448,0.97143,0.26447,0.18706,0.78821,0.008515,0.008515,0.008515
47,2924.67,0.39864,0.25697,0.87393,0.98046,0.98904,0.99383,0.97755,0.26903,0.1869,0.79082,0.008482,0.008482,0.008482
48,2985.85,0.40105,0.26087,0.87392,0.96958,0.99113,0.99088,0.97071,0.28286,0.20643,0.793,0.008449,0.008449,0.008449
49,3046.27,0.39394,0.25209,0.87561,0.9768,0.99237,0.99175,0.97563,0.2672,0.19529,0.79185,0.008416,0.008416,0.008416
50,3107.92,0.39087,0.25121,0.86983,0.9728,0.99275,0.99195,0.97087,0.27892,0.19231,0.7938,0.008383,0.008383,0.008383
51,3168.49,0.38507,0.24793,0.86724,0.97745,0.97279,0.99147,0.97634,0.26369,0.19743,0.78249,0.00835,0.00835,0.00835
52,3233.81,0.38901,0.2461,0.86265,0.97213,0.98103,0.99136,0.97799,0.26352,0.1883,0.78172,0.008317,0.008317,0.008317
53,3300.85,0.38594,0.24862,0.86468,0.98323,0.97596,0.9915,0.97612,0.27263,0.19797,0.78932,0.008284,0.008284,0.008284
54,3367.38,0.38502,0.24881,0.86682,0.97947,0.99322,0.99438,0.97454,0.27007,0.1944,0.78976,0.008251,0.008251,0.008251
55,3434.2,0.38143,0.24398,0.86573,0.98097,0.97925,0.99204,0.97659,0.26567,0.23306,0.78771,0.008218,0.008218,0.008218
56,3502.27,0.38272,0.2461,0.86646,0.96947,0.9873,0.99199,0.97758,0.26185,0.20138,0.78448,0.008185,0.008185,0.008185
57,3570.57,0.37852,0.24207,0.86388,0.95971,0.99324,0.99114,0.97611,0.25937,0.19279,0.78576,0.008152,0.008152,0.008152
58,3634.3,0.37437,0.24033,0.86405,0.96124,0.99157,0.99042,0.97943,0.25557,0.18464,0.78223,0.008119,0.008119,0.008119
59,3695.32,0.37213,0.23796,0.85908,0.97054,0.98956,0.99107,0.97287,0.26218,0.20009,0.78576,0.008086,0.008086,0.008086
60,3755.82,0.37122,0.23904,0.85693,0.96199,0.99065,0.99325,0.98151,0.24951,0.19075,0.78245,0.008053,0.008053,0.008053
61,3817.16,0.37798,0.24455,0.86755,0.96587,0.98773,0.99133,0.97698,0.26415,0.19177,0.78839,0.00802,0.00802,0.00802
