epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3698,0.87984,2.18643,1.11045,0.95224,0.96622,0.9856,0.82304,0.71101,0.97809,1.02252,0.00332589,0.00332589,0.00332589
2,147.095,0.7838,1.1791,1.06342,0.97948,0.96437,0.99244,0.86195,0.53793,0.53862,0.91683,0.00663725,0.00663725,0.00663725
3,217.008,0.80015,0.9045,1.08529,0.97582,0.94572,0.9886,0.8488,0.62753,0.55815,0.99227,0.00992661,0.00992661,0.00992661
4,286.874,0.78414,0.70221,1.09316,0.94241,0.91617,0.98082,0.84233,0.5942,0.58009,0.96161,0.009901,0.009901,0.009901
5,357.298,0.73218,0.57301,1.05729,0.97048,0.97297,0.99094,0.88714,0.49215,0.40796,0.89745,0.009868,0.009868,0.009868
6,429.659,0.69641,0.51644,1.03351,0.953,0.99324,0.98895,0.88957,0.47407,0.34169,0.89141,0.009835,0.009835,0.009835
7,502.728,0.67058,0.47795,1.01795,0.97981,0.97512,0.99088,0.90888,0.44004,0.31814,0.88231,0.009802,0.009802,0.009802
8,577.864,0.65453,0.45631,1.00984,0.97689,0.9683,0.98791,0.90153,0.47246,0.34782,0.88355,0.009769,0.009769,0.009769
9,651.323,0.63677,0.42931,0.99663,0.96535,0.98649,0.98955,0.91202,0.43608,0.32434,0.86537,0.009736,0.009736,0.009736
10,726.177,0.61435,0.41196,0.98624,0.97104,0.99206,0.99185,0.92445,0.40927,0.29905,0.85775,0.009703,0.009703,0.009703
11,802.976,0.59769,0.40126,0.97847,0.97867,0.97806,0.98956,0.9298,0.41211,0.30114,0.85489,0.00967,0.00967,0.00967
12,877.961,0.58771,0.38604,0.97137,0.97063,0.96939,0.98974,0.91797,0.38656,0.30762,0.8402,0.009637,0.009637,0.009637
