epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.428,0.87692,1.88463,1.10098,0.96445,0.95339,0.98273,0.82566,0.679,0.96125,1.06858,0.00332672,0.00332672,0.00332672
2,165.229,0.7593,0.97926,1.04113,0.98412,0.9536,0.98931,0.83232,0.68066,0.58728,1.0664,0.00663807,0.00663807,0.00663807
3,242.884,0.78914,0.79877,1.05981,0.9632,0.95962,0.9861,0.84206,0.64131,0.60124,1.04659,0.00992743,0.00992743,0.00992743
4,320.883,0.7708,0.66106,1.04692,0.9632,0.94259,0.98296,0.84667,0.61182,0.50338,1.0205,0.009901,0.009901,0.009901
5,399.128,0.72772,0.55418,1.02142,0.96533,0.97012,0.98571,0.87451,0.54444,0.45957,0.97989,0.009868,0.009868,0.009868
6,478.144,0.69159,0.50946,1.00664,0.95959,0.96821,0.98891,0.8814,0.52274,0.41355,0.97047,0.009835,0.009835,0.009835
7,558.084,0.67251,0.47855,0.99951,0.98014,0.97328,0.98726,0.88586,0.50189,0.38006,0.95474,0.009802,0.009802,0.009802
8,638.802,0.64286,0.45287,0.98398,0.97576,0.96899,0.98787,0.90204,0.48875,0.37399,0.93747,0.009769,0.009769,0.009769
9,718.234,0.62704,0.42451,0.9761,0.96638,0.96913,0.98729,0.90231,0.4767,0.35844,0.9337,0.009736,0.009736,0.009736
10,804.708,0.6153,0.41325,0.97096,0.96722,0.97627,0.9892,0.90268,0.48273,0.31858,0.9405,0.009703,0.009703,0.009703
11,892.904,0.59275,0.39395,0.9617,0.965,0.98044,0.99021,0.90465,0.47673,0.32042,0.93224,0.00967,0.00967,0.00967
12,980.781,0.58068,0.38312,0.95401,0.9839,0.97226,0.99236,0.91695,0.44166,0.30087,0.91508,0.009637,0.009637,0.009637
13,1069.29,0.56709,0.3691,0.9493,0.97765,0.98316,0.98867,0.92206,0.43282,0.31343,0.92019,0.009604,0.009604,0.009604
14,1155.39,0.57245,0.37893,0.94715,0.97512,0.97452,0.98845,0.92605,0.41865,0.30345,0.91106,0.009571,0.009571,0.009571
15,1238.29,0.55219,0.36618,0.94087,0.97981,0.97894,0.98969,0.92344,0.43322,0.29386,0.91501,0.009538,0.009538,0.009538
16,1321.63,0.54251,0.35039,0.93701,0.96902,0.97158,0.98808,0.9312,0.40929,0.32128,0.90027,0.009505,0.009505,0.009505
17,1403.23,0.54497,0.35178,0.9399,0.9757,0.96387,0.98897,0.92962,0.41688,0.29978,0.90455,0.009472,0.009472,0.009472
18,1485.3,0.53686,0.35036,0.93586,0.98173,0.96638,0.99239,0.93697,0.39663,0.30388,0.89189,0.009439,0.009439,0.009439
19,1567.83,0.52869,0.33949,0.93185,0.96694,0.98719,0.99105,0.94817,0.3785,0.2701,0.88759,0.009406,0.009406,0.009406
20,1649.88,0.52564,0.33602,0.93061,0.9731,0.9775,0.99003,0.94302,0.3683,0.27637,0.8811,0.009373,0.009373,0.009373
21,1730.54,0.52501,0.33697,0.92964,0.98009,0.97533,0.99221,0.94952,0.37148,0.26115,0.88695,0.00934,0.00934,0.00934
22,1813.35,0.51415,0.32848,0.92359,0.97437,0.983,0.99063,0.94167,0.37154,0.25515,0.88287,0.009307,0.009307,0.009307
23,1892.81,0.50981,0.32638,0.92151,0.97159,0.9795,0.98934,0.95044,0.37286,0.27083,0.88313,0.009274,0.009274,0.009274
24,1974.18,0.50757,0.32239,0.92168,0.96961,0.9766,0.98778,0.94843,0.36197,0.26556,0.87813,0.009241,0.009241,0.009241
25,2053.52,0.50421,0.32305,0.9191,0.9801,0.96965,0.99009,0.94644,0.37908,0.28134,0.88575,0.009208,0.009208,0.009208
26,2135.48,0.49275,0.31663,0.91141,0.96528,0.98273,0.98917,0.9478,0.3536,0.25365,0.87653,0.009175,0.009175,0.009175
27,2214.91,0.49304,0.31231,0.91499,0.9751,0.97318,0.99082,0.95139,0.34951,0.26343,0.87519,0.009142,0.009142,0.009142
28,2294.64,0.48574,0.31128,0.91082,0.96475,0.97546,0.99154,0.94222,0.36951,0.28897,0.88161,0.009109,0.009109,0.009109
29,2374.8,0.48212,0.30736,0.90834,0.96601,0.98126,0.98888,0.95503,0.34202,0.28292,0.87082,0.009076,0.009076,0.009076
30,2454.91,0.48228,0.30448,0.90828,0.98004,0.97145,0.98889,0.94976,0.3388,0.26503,0.86348,0.009043,0.009043,0.009043
31,2535.26,0.48158,0.30589,0.90776,0.9773,0.98309,0.99204,0.96295,0.33671,0.23811,0.86712,0.00901,0.00901,0.00901
32,2615.26,0.47772,0.30365,0.90527,0.97094,0.97916,0.98905,0.94906,0.35374,0.27051,0.87204,0.008977,0.008977,0.008977
33,2695.05,0.46521,0.29888,0.90395,0.96471,0.98484,0.98619,0.95377,0.33245,0.26346,0.86376,0.008944,0.008944,0.008944
34,2775.28,0.4722,0.29766,0.90385,0.96679,0.98241,0.98795,0.95682,0.3273,0.27027,0.86276,0.008911,0.008911,0.008911
35,2856.72,0.46519,0.2959,0.90128,0.98073,0.97778,0.99011,0.95625,0.33278,0.25772,0.86216,0.008878,0.008878,0.008878
36,2936.56,0.46154,0.28944,0.89714,0.98087,0.97083,0.98994,0.96156,0.33053,0.25111,0.86064,0.008845,0.008845,0.008845
