epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28476,1.02533,3.55172,1.06981,0.00344,1,0.38497,0.28067,0.89482,3.10736,0.91784,0.000275,0.000275,0.000275
2,12.9383,0.96755,2.41489,1.03637,0.00465,1,0.69882,0.53319,0.9019,3.02818,0.91037,0.000556931,0.000556931,0.000556931
3,16.2881,0.94056,2.03153,1.03471,0.55989,0.65223,0.70281,0.50282,0.89003,2.46726,0.95189,0.00083317,0.00083317,0.00083317
4,19.4245,0.95271,1.91458,1.06216,0.57002,0.75424,0.7266,0.56833,0.82028,2.05469,0.92187,0.00110372,0.00110372,0.00110372
5,22.972,0.99975,1.78814,1.08448,0.6189,0.89463,0.7406,0.47876,0.98913,1.8511,1.11685,0.0012005,0.0012005,0.0012005
6,26.4455,0.9846,1.66255,1.10182,0.60539,0.86021,0.80416,0.63367,0.81259,1.36258,1.01241,0.00118812,0.00118812,0.00118812
7,29.7201,0.93003,1.58726,1.05293,0.64581,0.84848,0.8191,0.68021,0.78706,2.62885,1.00918,0.00117575,0.00117575,0.00117575
8,32.9827,0.98519,1.45555,1.08743,0.76006,0.78924,0.85443,0.64291,0.88411,1.50394,1.06053,0.00116337,0.00116337,0.00116337
9,36.0059,0.9585,1.41845,1.09676,0.69587,0.9273,0.87249,0.66281,0.87297,1.33704,1.04884,0.001151,0.001151,0.001151
10,39.0617,0.92678,1.3487,1.07863,0.89421,0.93109,0.94573,0.75482,0.74054,0.9726,0.98889,0.00113863,0.00113863,0.00113863
11,42.4865,0.93891,1.20877,1.07931,0.86897,0.9529,0.97162,0.76314,0.85099,0.86888,1.08481,0.00112625,0.00112625,0.00112625
12,45.9185,0.90769,1.07614,1.05548,0.91689,0.97727,0.98604,0.79328,0.80928,0.72836,1.04028,0.00111388,0.00111388,0.00111388
13,49.2027,0.9104,1.08769,1.0556,0.9534,0.96861,0.97158,0.79003,0.83588,0.62563,1.03586,0.0011015,0.0011015,0.0011015
14,52.2441,0.88528,0.98445,1.03882,0.8632,0.95825,0.97391,0.75195,0.79173,0.76968,1.01759,0.00108913,0.00108913,0.00108913
15,55.5455,0.83843,0.92096,1.05706,0.8843,0.94984,0.97455,0.7948,0.76966,0.67499,1.00567,0.00107675,0.00107675,0.00107675
16,58.703,0.88345,0.9537,1.0598,0.95093,1,0.99313,0.78195,0.77556,0.56011,0.99709,0.00106437,0.00106437,0.00106437
17,61.9986,0.85914,0.84639,1.05124,0.96017,0.92593,0.96678,0.77079,0.83319,0.68528,1.04102,0.001052,0.001052,0.001052
18,65.094,0.83131,0.79665,1.01725,0.96474,0.96649,0.995,0.79961,0.77721,0.57402,1.00361,0.00103962,0.00103962,0.00103962
19,68.6194,0.84802,0.82921,1.05021,0.98559,0.93479,0.98725,0.77204,0.84318,0.58763,1.07384,0.00102725,0.00102725,0.00102725
20,71.8044,0.82551,0.73313,1.01967,0.90406,0.97228,0.97323,0.78005,0.7669,0.58046,1.02374,0.00101488,0.00101488,0.00101488
21,74.9581,0.81142,0.75116,1.01405,0.94197,0.96178,0.97781,0.76618,0.79537,0.67265,1.00311,0.0010025,0.0010025,0.0010025
22,78.0833,0.83437,0.74577,1.04762,0.9115,0.94949,0.94743,0.77512,0.75873,0.74702,0.98914,0.000990125,0.000990125,0.000990125
23,81.2761,0.79643,0.71355,1.00175,0.99396,0.99767,0.995,0.82154,0.69081,0.45652,0.97507,0.00097775,0.00097775,0.00097775
24,84.4733,0.84558,0.71841,1.04972,0.81659,0.9113,0.90367,0.73758,0.72576,0.69008,0.99964,0.000965375,0.000965375,0.000965375
25,87.6573,0.80129,0.69212,1.01486,0.97708,0.99228,0.995,0.82598,0.72362,0.46332,0.98612,0.000953,0.000953,0.000953
26,90.6813,0.78547,0.6733,1.00624,0.96959,0.95186,0.97437,0.80501,0.74724,0.5711,1.01155,0.000940625,0.000940625,0.000940625
27,93.5749,0.83353,0.69257,1.02587,0.98124,0.96409,0.97305,0.81633,0.70449,0.47089,0.98597,0.00092825,0.00092825,0.00092825
28,96.7396,0.81816,0.67505,1.01233,0.97979,0.97895,0.995,0.82494,0.66713,0.41356,0.95862,0.000915875,0.000915875,0.000915875
29,99.8479,0.79687,0.66037,1.02033,0.97135,0.9525,0.99225,0.83452,0.67026,0.59404,0.95529,0.0009035,0.0009035,0.0009035
30,103.114,0.78638,0.62209,1.02933,0.9891,0.99769,0.995,0.83972,0.66089,0.44271,0.9555,0.000891125,0.000891125,0.000891125
31,106.619,0.79662,0.62538,1.02715,0.9906,0.97727,0.97383,0.8164,0.71069,0.41534,0.98699,0.00087875,0.00087875,0.00087875
32,109.902,0.75666,0.58999,1.00128,0.9462,0.9616,0.97413,0.8113,0.72267,0.52808,0.99628,0.000866375,0.000866375,0.000866375
33,113.089,0.78848,0.57073,1.00202,0.95591,0.86237,0.91763,0.7656,0.73951,0.7669,1.00649,0.000854,0.000854,0.000854
34,116.388,0.74221,0.56983,0.98856,0.94906,0.96892,0.9833,0.83358,0.67445,0.50605,0.98203,0.000841625,0.000841625,0.000841625
35,119.525,0.78237,0.56523,1.01964,0.9795,0.99044,0.995,0.81952,0.68979,0.42466,0.98437,0.00082925,0.00082925,0.00082925
36,122.779,0.77919,0.58872,1.03861,0.99115,0.96982,0.97919,0.82613,0.68376,0.40609,0.96434,0.000816875,0.000816875,0.000816875
37,125.891,0.75042,0.5638,0.9874,0.98246,0.97656,0.97552,0.82617,0.73961,0.39765,1.01177,0.0008045,0.0008045,0.0008045
38,128.926,0.74155,0.54587,1.014,0.98504,1,0.995,0.83477,0.69223,0.40721,0.99184,0.000792125,0.000792125,0.000792125
39,132.086,0.7275,0.54168,1.00234,0.99019,0.97727,0.97435,0.82658,0.67166,0.38999,0.96754,0.00077975,0.00077975,0.00077975
40,135.173,0.72256,0.53319,0.97965,0.98947,0.97727,0.97525,0.84101,0.65187,0.35938,0.95773,0.000767375,0.000767375,0.000767375
41,138.512,0.74443,0.53191,1.00616,0.96305,0.96496,0.99225,0.83248,0.65753,0.40089,0.96573,0.000755,0.000755,0.000755
42,141.607,0.73707,0.5018,1.01088,0.98566,0.97727,0.9746,0.81805,0.73913,0.3623,0.99708,0.000742625,0.000742625,0.000742625
43,144.835,0.74001,0.52681,1.01127,0.96634,0.97007,0.99313,0.8333,0.69317,0.41481,0.95514,0.00073025,0.00073025,0.00073025
44,148.137,0.755,0.52648,1.02459,0.96805,0.98203,0.995,0.83746,0.68589,0.40094,0.96091,0.000717875,0.000717875,0.000717875
45,151.247,0.72892,0.53295,1.00161,0.9861,0.99507,0.995,0.84052,0.66894,0.36223,0.95331,0.0007055,0.0007055,0.0007055
46,154.301,0.72862,0.48197,0.98491,0.98869,1,0.995,0.85012,0.62869,0.36277,0.94947,0.000693125,0.000693125,0.000693125
47,157.704,0.73735,0.50545,1.01247,0.98081,0.99509,0.995,0.83106,0.64506,0.35073,0.95817,0.00068075,0.00068075,0.00068075
48,160.875,0.72085,0.48789,0.99102,0.98569,0.9951,0.995,0.83532,0.71313,0.37051,0.97001,0.000668375,0.000668375,0.000668375
49,163.942,0.72295,0.47491,0.99793,0.99185,0.98184,0.995,0.83658,0.69146,0.37382,0.9649,0.000656,0.000656,0.000656
50,166.941,0.70135,0.48607,0.98518,0.98498,0.98408,0.995,0.82675,0.68785,0.37785,0.96311,0.000643625,0.000643625,0.000643625
51,170.268,0.71288,0.51175,0.98034,0.99418,0.98284,0.995,0.83001,0.74104,0.3648,0.98304,0.00063125,0.00063125,0.00063125
52,173.434,0.69128,0.47928,0.97852,0.99318,0.97948,0.995,0.81655,0.69135,0.37454,0.97825,0.000618875,0.000618875,0.000618875
53,176.63,0.70585,0.45765,0.97996,0.97438,0.97727,0.9824,0.82528,0.66747,0.3659,0.96558,0.0006065,0.0006065,0.0006065
54,180.181,0.71459,0.45601,0.98128,0.98063,0.99596,0.995,0.85829,0.63272,0.33954,0.93621,0.000594125,0.000594125,0.000594125
55,183.31,0.67283,0.42936,0.95872,0.98995,0.9969,0.995,0.85536,0.70643,0.33913,0.95354,0.00058175,0.00058175,0.00058175
56,186.353,0.678,0.43825,0.97998,0.96847,0.99185,0.995,0.85404,0.66791,0.37603,0.95046,0.000569375,0.000569375,0.000569375
57,189.556,0.68162,0.44116,0.97254,0.98669,0.99777,0.995,0.83303,0.74455,0.35353,0.99745,0.000557,0.000557,0.000557
58,192.769,0.70951,0.4548,0.99174,0.98796,0.99911,0.995,0.83654,0.71356,0.33853,0.98836,0.000544625,0.000544625,0.000544625
59,195.952,0.69188,0.44282,0.9711,0.94187,0.99349,0.995,0.82642,0.75155,0.40475,0.98536,0.00053225,0.00053225,0.00053225
60,198.995,0.70766,0.4549,0.98632,0.98854,0.99608,0.995,0.8476,0.71212,0.3226,0.9547,0.000519875,0.000519875,0.000519875
61,202.225,0.67145,0.41819,0.963,0.98864,1,0.995,0.85521,0.68726,0.31623,0.94642,0.0005075,0.0005075,0.0005075
62,205.353,0.66177,0.41017,0.9598,0.99129,0.99895,0.995,0.85364,0.65178,0.32381,0.94287,0.000495125,0.000495125,0.000495125
63,208.619,0.67284,0.42118,0.9754,0.9909,0.99774,0.995,0.84153,0.68364,0.33695,0.95404,0.00048275,0.00048275,0.00048275
64,211.774,0.66977,0.43768,0.97383,0.99204,1,0.995,0.83108,0.68688,0.33539,0.95932,0.000470375,0.000470375,0.000470375
65,214.779,0.68156,0.45192,0.97338,0.9816,0.97727,0.97594,0.82317,0.69674,0.33357,0.96906,0.000458,0.000458,0.000458
66,218.078,0.68503,0.43334,0.97493,0.98514,0.97432,0.97637,0.8288,0.67631,0.33115,0.96555,0.000445625,0.000445625,0.000445625
67,221.162,0.67618,0.4201,0.97391,0.98667,0.97727,0.97726,0.83383,0.70687,0.33477,0.97268,0.00043325,0.00043325,0.00043325
68,224.365,0.67304,0.42587,0.97734,0.98525,0.99902,0.995,0.84469,0.66378,0.30742,0.94441,0.000420875,0.000420875,0.000420875
69,227.429,0.64231,0.40496,0.95715,0.98425,1,0.995,0.83369,0.73042,0.3224,0.96595,0.0004085,0.0004085,0.0004085
70,230.705,0.63476,0.40779,0.95359,0.98894,0.99982,0.995,0.84571,0.67936,0.31368,0.95778,0.000396125,0.000396125,0.000396125
71,234.301,0.62492,0.39977,0.96482,0.98642,0.99757,0.995,0.83361,0.68301,0.32197,0.96285,0.00038375,0.00038375,0.00038375
72,237.644,0.64499,0.40751,0.95161,0.97445,0.95308,0.97766,0.82332,0.70258,0.3587,0.98176,0.000371375,0.000371375,0.000371375
73,240.594,0.64983,0.42806,0.97059,0.98536,0.99641,0.995,0.8403,0.67516,0.30197,0.96572,0.000359,0.000359,0.000359
74,243.754,0.68224,0.43835,0.98918,0.9937,0.98214,0.995,0.83462,0.66232,0.30695,0.96227,0.000346625,0.000346625,0.000346625
75,246.824,0.62304,0.40448,0.96734,0.99242,0.98629,0.995,0.85003,0.6644,0.2962,0.94852,0.00033425,0.00033425,0.00033425
76,250.123,0.5892,0.38381,0.94524,0.99248,0.98312,0.995,0.85064,0.65735,0.28936,0.9486,0.000321875,0.000321875,0.000321875
77,253.06,0.62383,0.38091,0.95824,0.9889,0.99419,0.995,0.8562,0.64828,0.29389,0.94049,0.0003095,0.0003095,0.0003095
78,256.282,0.6522,0.38067,0.96531,0.99112,0.99697,0.995,0.84059,0.66384,0.29736,0.96167,0.000297125,0.000297125,0.000297125
79,259.231,0.61265,0.36559,0.95791,0.98792,0.99652,0.995,0.84763,0.67193,0.32493,0.96289,0.00028475,0.00028475,0.00028475
80,262.73,0.58744,0.3593,0.93074,0.98747,0.97727,0.97869,0.84013,0.66006,0.29595,0.9561,0.000272375,0.000272375,0.000272375
81,265.995,0.62784,0.39871,0.95402,0.98634,0.99675,0.995,0.85198,0.63132,0.28094,0.9374,0.00026,0.00026,0.00026
82,269.232,0.60378,0.3731,0.95312,0.98486,0.99636,0.995,0.84539,0.63652,0.28248,0.94491,0.000247625,0.000247625,0.000247625
83,272.328,0.63475,0.37774,0.97941,0.99324,0.98468,0.995,0.83739,0.69593,0.29164,0.96396,0.00023525,0.00023525,0.00023525
84,275.446,0.59974,0.36728,0.92943,0.98664,0.99696,0.995,0.84783,0.64675,0.29411,0.9581,0.000222875,0.000222875,0.000222875
85,278.467,0.57634,0.35579,0.93321,0.99,0.97727,0.97937,0.84091,0.69509,0.29804,0.97349,0.0002105,0.0002105,0.0002105
86,281.845,0.60222,0.37302,0.94026,0.9929,0.9836,0.995,0.85138,0.62728,0.28479,0.93452,0.000198125,0.000198125,0.000198125
87,285.007,0.57707,0.35895,0.93702,0.99239,0.97727,0.99313,0.84142,0.69831,0.30425,0.95974,0.00018575,0.00018575,0.00018575
88,288.284,0.59565,0.36604,0.95138,0.98131,0.99597,0.995,0.85629,0.66276,0.29709,0.94234,0.000173375,0.000173375,0.000173375
89,291.803,0.58719,0.35017,0.94465,0.99166,0.97727,0.99313,0.84178,0.67454,0.29454,0.94789,0.000161,0.000161,0.000161
90,295.035,0.55285,0.34345,0.92586,0.98326,0.9959,0.995,0.84438,0.67051,0.28519,0.94619,0.000148625,0.000148625,0.000148625
91,299.552,0.48154,0.32343,0.8503,0.98541,0.99555,0.995,0.84287,0.65659,0.29216,0.94386,0.00013625,0.00013625,0.00013625
92,303.026,0.47509,0.31465,0.87136,0.98449,0.99552,0.995,0.84573,0.66442,0.29046,0.94994,0.000123875,0.000123875,0.000123875
93,305.969,0.48815,0.29949,0.88319,0.98292,0.99562,0.995,0.84688,0.65547,0.28533,0.94385,0.0001115,0.0001115,0.0001115
94,309.129,0.46084,0.29603,0.86128,0.98404,0.99558,0.995,0.84208,0.65461,0.27995,0.94714,9.9125e-05,9.9125e-05,9.9125e-05
95,312.213,0.45692,0.29084,0.86847,0.99288,0.98577,0.995,0.8359,0.67221,0.28203,0.95582,8.675e-05,8.675e-05,8.675e-05
