epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1057,0.93467,2.64263,1.05549,0.00515,0.96134,0.53873,0.41572,0.68108,3.36063,0.8693,0.000409226,0.000409226,0.000409226
2,27.6684,0.86693,1.51477,1.0625,0.93143,0.76475,0.94997,0.76567,0.71073,1.94206,0.99163,0.000817717,0.000817717,0.000817717
3,38.8433,0.83217,1.28089,1.06532,0.9118,0.91021,0.96122,0.77632,0.71139,1.07328,1.0493,0.00121796,0.00121796,0.00121796
4,50.7359,0.81539,1.11136,1.0626,0.95987,0.94015,0.97528,0.7979,0.71676,0.80528,1.05542,0.00121287,0.00121287,0.00121287
5,61.6993,0.74603,0.93519,1.03143,0.91221,0.95559,0.97243,0.80887,0.64981,0.79086,1.03043,0.0012005,0.0012005,0.0012005
6,72.9208,0.76848,0.86154,1.05122,0.91226,0.94574,0.97345,0.81295,0.64407,0.71826,1.00975,0.00118812,0.00118812,0.00118812
7,83.7824,0.74931,0.7885,1.05142,0.95312,0.95232,0.96964,0.81718,0.6416,0.63143,1.01641,0.00117575,0.00117575,0.00117575
8,94.8851,0.72323,0.70711,1.0351,0.96765,0.95204,0.97953,0.84264,0.547,0.51035,0.96366,0.00116337,0.00116337,0.00116337
9,106.264,0.72818,0.69883,1.04364,0.96376,0.92224,0.98061,0.82312,0.62611,0.58939,0.99374,0.001151,0.001151,0.001151
10,117.119,0.70025,0.62961,1.01589,0.9801,0.94605,0.98424,0.85615,0.52309,0.45924,0.93285,0.00113863,0.00113863,0.00113863
11,128.169,0.6972,0.58753,1.01451,0.95508,0.95628,0.97668,0.85358,0.57658,0.48251,0.96442,0.00112625,0.00112625,0.00112625
12,139.443,0.67985,0.5712,1.00961,0.97119,0.93574,0.98625,0.84647,0.56832,0.4627,0.94972,0.00111388,0.00111388,0.00111388
13,150.919,0.67952,0.56972,1.01578,0.96626,0.94818,0.97361,0.84051,0.59561,0.50945,0.98012,0.0011015,0.0011015,0.0011015
14,161.933,0.66338,0.55432,1.00452,0.96646,0.9434,0.97243,0.83578,0.55965,0.4459,0.9459,0.00108913,0.00108913,0.00108913
15,173.143,0.66113,0.52682,0.99149,0.98325,0.94683,0.97937,0.85389,0.52552,0.46421,0.93492,0.00107675,0.00107675,0.00107675
16,184.616,0.66334,0.53814,1.00365,0.98199,0.94542,0.98168,0.8496,0.57508,0.44219,0.95621,0.00106437,0.00106437,0.00106437
17,195.813,0.65097,0.489,0.99278,0.96994,0.94551,0.98145,0.86307,0.49203,0.42559,0.91602,0.001052,0.001052,0.001052
18,206.719,0.64295,0.48505,1.00675,0.95891,0.94451,0.98322,0.86506,0.49836,0.49528,0.91714,0.00103962,0.00103962,0.00103962
19,217.024,0.64165,0.48603,0.98704,0.97881,0.9448,0.97869,0.83941,0.6156,0.47261,0.97684,0.00102725,0.00102725,0.00102725
