epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.69361,1.06446,4.31522,1.13962,0.59315,0.77778,0.71274,0.57036,0.78126,2.1024,0.97427,0.000275,0.000275,0.000275
2,10.573,0.96105,1.81735,1.08644,0.792,0.63758,0.83684,0.65765,0.86507,3.53222,1.08684,0.000556931,0.000556931,0.000556931
3,15.6729,0.96708,1.36357,1.10479,0.88288,0.53535,0.6445,0.5083,0.89168,1.74849,1.17821,0.00083317,0.00083317,0.00083317
4,20.1727,1.06681,1.24975,1.17734,0.17298,0.54545,0.29084,0.16217,1.85399,6.64397,2.01151,0.00110372,0.00110372,0.00110372
5,24.4749,1.078,1.10032,1.17387,0.60159,0.82066,0.77403,0.55397,0.89561,6.50165,1.30045,0.0012005,0.0012005,0.0012005
6,28.7196,1.03934,0.94343,1.16547,0.62845,0.86725,0.91456,0.66345,0.9521,5.04119,1.24628,0.00118812,0.00118812,0.00118812
7,33.398,1.01056,0.87729,1.14505,0.63631,0.55299,0.64795,0.44814,1.14217,5.33844,1.35626,0.00117575,0.00117575,0.00117575
8,37.2786,1.05038,0.79668,1.17702,0.82095,0.59477,0.67406,0.50751,1.00909,2.0523,1.21063,0.00116337,0.00116337,0.00116337
9,41.3784,0.98867,0.77586,1.15448,0.8205,0.78128,0.91681,0.63989,1.02158,0.8516,1.25058,0.001151,0.001151,0.001151
10,45.9375,0.99126,0.80782,1.1746,0.8646,0.85962,0.93807,0.71043,0.92763,0.86988,1.15191,0.00113863,0.00113863,0.00113863
11,50.1561,1.01164,0.70616,1.15811,0.9676,0.85319,0.90644,0.68889,0.90275,1.55277,1.17816,0.00112625,0.00112625,0.00112625
12,54.4291,0.9873,0.69911,1.14224,0.93887,0.88425,0.94888,0.7473,0.83176,0.85829,1.11848,0.00111388,0.00111388,0.00111388
13,59.5705,0.97209,0.65942,1.1436,0.91439,0.96118,0.98538,0.76384,0.82529,0.51661,1.11559,0.0011015,0.0011015,0.0011015
14,64.032,0.92433,0.66889,1.11249,0.89378,0.90531,0.96014,0.7157,1.02307,0.58906,1.22594,0.00108913,0.00108913,0.00108913
15,68.0349,0.91702,0.64523,1.13385,0.88156,0.89099,0.94317,0.75613,0.78468,0.63236,1.08364,0.00107675,0.00107675,0.00107675
16,72.0295,0.93984,0.66946,1.15786,0.95374,0.94913,0.98213,0.78296,0.78145,0.54881,1.07424,0.00106437,0.00106437,0.00106437
17,76.2705,0.89693,0.63738,1.10848,0.93148,0.98544,0.98949,0.78012,0.88696,0.49809,1.13034,0.001052,0.001052,0.001052
18,80.5612,0.88837,0.57832,1.07885,0.90368,0.82214,0.91809,0.7276,0.84918,0.71243,1.11754,0.00103962,0.00103962,0.00103962
19,85.1071,0.9076,0.60114,1.11788,0.78393,0.83062,0.808,0.58527,1.19229,0.98513,1.36342,0.00102725,0.00102725,0.00102725
20,89.1444,0.8773,0.56456,1.07692,0.96407,0.93467,0.96745,0.7706,0.83061,0.49332,1.08626,0.00101488,0.00101488,0.00101488
