epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6136,1.83243,3.25881,1.55129,0.00936,0.93535,0.5611,0.2081,1.57187,3.55774,1.22321,0.000409226,0.000409226,0.000409226
2,21.9845,1.55306,2.03647,1.4831,0.73421,0.63113,0.77994,0.36306,1.64363,2.26906,1.50422,0.000823167,0.000823167,0.000823167
3,32.0736,1.51428,1.78164,1.4484,0.79471,0.87001,0.91778,0.5069,1.41879,1.47251,1.48179,0.00123436,0.00123436,0.00123436
4,42.0765,1.48539,1.60207,1.45964,0.34103,0.2002,0.12865,0.04017,3.14714,2.90649,2.51032,0.00123763,0.00123763,0.00123763
5,51.6038,1.42655,1.35248,1.41801,0.84416,0.87478,0.90393,0.49672,1.48032,1.2739,1.40175,0.0012335,0.0012335,0.0012335
6,60.9503,1.39004,1.22483,1.39606,0.87501,0.83676,0.91953,0.42483,1.76578,1.15925,1.6505,0.00122937,0.00122937,0.00122937
7,70.3096,1.35756,1.13962,1.39397,0.95606,0.90976,0.96385,0.58766,1.25903,0.92997,1.29887,0.00122525,0.00122525,0.00122525
8,79.8865,1.30974,1.09924,1.34533,0.90081,0.92195,0.97292,0.64002,1.10312,0.87995,1.23184,0.00122112,0.00122112,0.00122112
9,89.3814,1.32283,1.0331,1.34052,0.77884,0.78915,0.8919,0.52014,1.43261,1.34061,1.45897,0.001217,0.001217,0.001217
10,99.0716,1.23833,0.95812,1.30027,0.71131,0.8372,0.82632,0.48684,1.34293,1.30093,1.22853,0.00121287,0.00121287,0.00121287
11,108.489,1.18435,0.90975,1.27534,0.83671,0.87064,0.93613,0.54584,1.53664,1.08959,1.60118,0.00120875,0.00120875,0.00120875
12,118.068,1.23717,0.90008,1.32663,0.89553,0.92073,0.97121,0.49307,1.69352,0.84665,1.60801,0.00120462,0.00120462,0.00120462
13,127.698,1.18584,0.87792,1.29031,0.95575,0.92492,0.97465,0.69158,0.99239,0.72133,1.1994,0.0012005,0.0012005,0.0012005
14,137.475,1.16717,0.84448,1.27905,0.97108,0.93554,0.97676,0.63134,1.26316,0.72057,1.24555,0.00119637,0.00119637,0.00119637
15,146.726,1.16248,0.81525,1.27834,0.91505,0.96367,0.9753,0.66666,1.08508,0.79803,1.26397,0.00119225,0.00119225,0.00119225
16,156.494,1.15643,0.81972,1.29672,0.91568,0.79805,0.94063,0.65626,1.1426,1.00712,1.26906,0.00118812,0.00118812,0.00118812
17,166.044,1.17741,0.79666,1.28581,0.90675,0.89118,0.97826,0.64731,1.19303,0.78125,1.28142,0.001184,0.001184,0.001184
18,175.473,1.17266,0.80227,1.29939,0.91807,0.96379,0.97667,0.62515,1.21369,0.757,1.34328,0.00117988,0.00117988,0.00117988
19,185.28,1.19724,0.78395,1.29735,0.91664,0.93688,0.95527,0.69345,0.95363,0.73836,1.15657,0.00117575,0.00117575,0.00117575
20,194.435,1.12059,0.75938,1.24528,0.93952,0.91537,0.97678,0.70381,1.05152,0.64997,1.16562,0.00117163,0.00117163,0.00117163
21,204.044,1.14419,0.763,1.25855,0.9527,0.92907,0.95298,0.57279,1.39963,0.75264,1.35624,0.0011675,0.0011675,0.0011675
22,213.623,1.14532,0.76813,1.26105,0.92316,0.92862,0.96092,0.68675,1.05066,0.83146,1.2269,0.00116337,0.00116337,0.00116337
23,223.108,1.10128,0.75795,1.25791,0.90494,0.90774,0.96084,0.71394,0.93887,0.77893,1.19933,0.00115925,0.00115925,0.00115925
24,233.262,1.11704,0.75316,1.26084,0.87634,0.91636,0.94633,0.64924,1.14889,0.79489,1.27557,0.00115513,0.00115513,0.00115513
25,242.805,1.12127,0.72711,1.26761,0.92685,0.93813,0.96988,0.70126,1.0084,0.76533,1.18049,0.001151,0.001151,0.001151
26,252.328,1.10144,0.69346,1.25713,0.91753,0.90321,0.96498,0.72173,0.95784,0.64808,1.10646,0.00114688,0.00114688,0.00114688
27,262.156,1.05721,0.68561,1.22812,0.94382,0.92394,0.97381,0.74146,0.86933,0.60565,1.10282,0.00114275,0.00114275,0.00114275
28,272.199,1.08082,0.70121,1.23528,0.94275,0.94736,0.9748,0.66958,1.14702,0.64908,1.21217,0.00113863,0.00113863,0.00113863
29,281.824,1.08731,0.69103,1.24098,0.93751,0.91913,0.96374,0.72442,0.88898,0.63278,1.09128,0.0011345,0.0011345,0.0011345
30,291.535,1.07066,0.70724,1.22969,0.73379,0.72872,0.80586,0.53782,1.31644,1.53293,1.32689,0.00113038,0.00113038,0.00113038
31,301.017,1.08477,0.68027,1.22833,0.93871,0.9548,0.97747,0.72786,0.92093,0.62851,1.1058,0.00112625,0.00112625,0.00112625
32,310.558,1.05216,0.68665,1.22363,0.96865,0.93573,0.98104,0.72428,0.98,0.54774,1.17859,0.00112213,0.00112213,0.00112213
33,320.324,1.09198,0.6819,1.24926,0.95863,0.95786,0.9852,0.63967,1.26884,0.66662,1.43217,0.001118,0.001118,0.001118
