epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5416,1.04438,3.69171,1.1227,0.0068,1,0.47924,0.37682,0.7353,3.29804,0.85821,0.000275,0.000275,0.000275
2,17.864,1.02155,2.68667,1.16223,0.00412,0.97727,0.66345,0.50541,0.93093,3.06866,0.98184,0.000556931,0.000556931,0.000556931
3,22.2313,0.9809,2.19267,1.10525,1,0.19504,0.81624,0.57003,1.03773,2.77318,0.96309,0.00083317,0.00083317,0.00083317
4,26.2169,1.02208,2.03028,1.09578,0.78588,0.69234,0.90058,0.60074,1.1536,2.18142,1.08837,0.00110372,0.00110372,0.00110372
5,30.2952,1.04648,1.82941,1.0957,0.78753,0.90337,0.95258,0.66319,0.97271,1.73995,0.96643,0.0012005,0.0012005,0.0012005
6,34.1579,1.03708,1.72018,1.13611,0.83055,0.87575,0.92061,0.66613,0.92067,1.53512,0.94091,0.00118812,0.00118812,0.00118812
7,37.9847,0.97367,1.66962,1.07,0.8966,0.95688,0.96863,0.73299,0.92104,1.81885,0.97195,0.00117575,0.00117575,0.00117575
8,41.8425,0.99815,1.54095,1.08514,0.90459,0.85851,0.97109,0.74627,0.88639,1.16287,0.96372,0.00116337,0.00116337,0.00116337
9,45.6844,0.96723,1.4349,1.07506,0.94452,0.92942,0.9875,0.72709,0.89881,1.25194,0.97194,0.001151,0.001151,0.001151
10,49.7449,0.95475,1.3976,1.07017,0.91906,0.97874,0.995,0.75581,0.84933,1.08379,0.92438,0.00113863,0.00113863,0.00113863
11,53.5887,0.97053,1.25636,1.08254,0.936,0.95179,0.98201,0.70653,0.94107,1.13162,0.95833,0.00112625,0.00112625,0.00112625
12,57.3549,0.95857,1.23417,1.06197,0.94842,0.90435,0.97829,0.75779,0.86511,0.90856,0.95757,0.00111388,0.00111388,0.00111388
13,61.0915,0.92092,1.19916,1.05904,0.80656,0.85602,0.90312,0.69339,0.83274,0.95424,0.97167,0.0011015,0.0011015,0.0011015
14,65.1595,0.90472,1.10208,1.03842,0.91015,0.93165,0.96933,0.78591,0.73142,0.72347,0.90608,0.00108913,0.00108913,0.00108913
15,69.0999,0.87123,1.00882,1.0116,0.93075,0.94949,0.95445,0.77161,0.83394,0.60639,0.93838,0.00107675,0.00107675,0.00107675
16,72.8195,0.89828,1.06301,1.04164,0.96618,0.99983,0.98938,0.75354,0.86964,0.56457,0.93213,0.00106437,0.00106437,0.00106437
17,76.7071,0.87294,0.9686,1.03053,0.94152,0.98811,0.97813,0.76979,0.82587,0.67697,0.91145,0.001052,0.001052,0.001052
18,80.4804,0.87727,0.90206,1.0323,0.96359,1,0.995,0.79324,0.74001,0.54941,0.8844,0.00103962,0.00103962,0.00103962
19,84.4343,0.89074,0.89702,1.04488,0.97103,1,0.995,0.7831,0.77729,0.55493,0.93207,0.00102725,0.00102725,0.00102725
20,88.2924,0.87093,0.82802,1.01491,0.95786,1,0.995,0.79517,0.81693,0.52402,0.94136,0.00101488,0.00101488,0.00101488
21,91.8264,0.88707,0.88222,1.00373,0.86424,0.86388,0.91243,0.71346,0.92532,0.99263,0.99631,0.0010025,0.0010025,0.0010025
22,95.7653,0.87996,0.86804,1.03791,0.99051,0.99868,0.995,0.80208,0.75283,0.51512,0.90759,0.000990125,0.000990125,0.000990125
23,99.7291,0.8453,0.80763,1.00006,0.96225,0.97727,0.97569,0.81937,0.69277,0.74815,0.90614,0.00097775,0.00097775,0.00097775
24,103.54,0.86549,0.8271,1.04849,0.96164,0.97727,0.98949,0.81171,0.72965,0.60535,0.90776,0.000965375,0.000965375,0.000965375
25,107.18,0.84479,0.77529,1.00694,0.96662,0.94949,0.98245,0.78325,0.80359,0.52928,0.9096,0.000953,0.000953,0.000953
26,110.978,0.84679,0.788,1.01117,0.88846,0.89956,0.93862,0.74779,0.77441,0.60412,0.92502,0.000940625,0.000940625,0.000940625
27,114.768,0.85423,0.75297,1.01561,0.96611,0.97108,0.98813,0.79034,0.7806,0.54024,0.93122,0.00092825,0.00092825,0.00092825
28,118.556,0.83946,0.75366,1.01258,0.98598,0.98868,0.995,0.79927,0.78122,0.47726,0.92937,0.000915875,0.000915875,0.000915875
29,122.451,0.80752,0.70197,0.99052,0.98645,0.97372,0.97508,0.77122,0.79516,0.5128,0.90432,0.0009035,0.0009035,0.0009035
30,126.211,0.81718,0.6694,1.00882,0.98188,0.94303,0.97606,0.79263,0.77957,0.53411,0.90539,0.000891125,0.000891125,0.000891125
31,130.129,0.83152,0.66531,1.00368,0.97748,0.99642,0.995,0.83009,0.75978,0.51095,0.90364,0.00087875,0.00087875,0.00087875
32,134.221,0.8034,0.66917,0.99674,0.98873,1,0.995,0.80955,0.80084,0.46994,0.9138,0.000866375,0.000866375,0.000866375
33,138.375,0.80293,0.63605,0.98509,0.97147,1,0.995,0.81707,0.79966,0.46439,0.92356,0.000854,0.000854,0.000854
34,142,0.79149,0.60168,0.98858,0.99088,1,0.995,0.82715,0.72672,0.44564,0.8905,0.000841625,0.000841625,0.000841625
