epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5927,1.02768,2.74808,1.09302,0.00597,0.98074,0.57772,0.41772,0.84909,3.25414,0.88049,0.000409226,0.000409226,0.000409226
2,26.818,0.9229,1.54926,1.10032,0.94427,0.74848,0.96366,0.74349,0.7182,2.11772,1.03854,0.000823167,0.000823167,0.000823167
3,35.8049,0.8944,1.31922,1.0926,0.88004,0.94656,0.94915,0.7471,0.79138,1.13509,1.08843,0.00123436,0.00123436,0.00123436
4,44.6307,0.89656,1.15447,1.09687,0.97618,0.92728,0.97499,0.75334,0.7946,0.79523,1.09741,0.00123763,0.00123763,0.00123763
5,54.7582,0.84688,0.98923,1.07064,0.96783,0.95231,0.97403,0.78559,0.74485,0.70106,1.07125,0.0012335,0.0012335,0.0012335
6,64.2075,0.83899,0.87784,1.08475,0.96709,0.94664,0.97472,0.80637,0.68031,0.59926,1.03464,0.00122937,0.00122937,0.00122937
7,73.447,0.82793,0.82569,1.08637,0.95802,0.91688,0.97126,0.78142,0.73536,0.6434,1.05795,0.00122525,0.00122525,0.00122525
8,81.9058,0.81413,0.74643,1.06929,0.96039,0.92741,0.97642,0.80271,0.68493,0.60706,1.017,0.00122112,0.00122112,0.00122112
9,90.6715,0.80543,0.72682,1.0725,0.94995,0.88957,0.96546,0.76705,0.76502,0.68475,1.07004,0.001217,0.001217,0.001217
10,99.8724,0.76456,0.66407,1.04492,0.92972,0.87052,0.97373,0.80064,0.65432,0.63013,1.01854,0.00121287,0.00121287,0.00121287
11,108.494,0.7802,0.64839,1.05435,0.93006,0.9231,0.96798,0.80138,0.63055,0.86951,0.99813,0.00120875,0.00120875,0.00120875
12,116.606,0.75735,0.614,1.04477,0.94475,0.94329,0.98488,0.8384,0.58349,0.4767,0.96034,0.00120462,0.00120462,0.00120462
13,125.443,0.75455,0.59093,1.05143,0.9875,0.93342,0.98397,0.83449,0.6024,0.48565,0.97599,0.0012005,0.0012005,0.0012005
14,133.816,0.73508,0.58221,1.04025,0.96504,0.96114,0.98098,0.81903,0.65885,0.47508,1.00455,0.00119637,0.00119637,0.00119637
